"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:38:16.0891952 PM","PdfEdgeViewer.exe","8744","WriteFile","C:\Users\LabUser\AppData\Local\Temp\ScreenConnect\25.4.25.9314\80ccfca31576cadc\ScreenConnect.ClientSetup.msi","SUCCESS","Offset: 0, Length: 13,385,728, Priority: Normal"
"4:38:16.2645311 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"4:38:16.2645942 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"4:38:16.2646194 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"4:38:16.2646379 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"4:38:16.2657697 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"4:38:16.2658011 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"4:38:16.2658170 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"4:38:16.2658349 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"4:38:16.3334479 PM","PdfEdgeViewer.exe","8744","Process Create","C:\Windows\SysWOW64\msiexec.exe","SUCCESS","PID: 7244, Command line: ""C:\Windows\System32\msiexec.exe"" /i ""C:\Users\LabUser\AppData\Local\Temp\ScreenConnect\25.4.25.9314\80ccfca31576cadc\ScreenConnect.ClientSetup.msi"""
"4:38:16.3846295 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC3475","SUCCESS","Type: REG_BINARY, Length: 566, Data: 26 05 00 00 00 00 00 00 04 00 04 00 01 02 1C 00"
"4:38:16.4433419 PM","PdfEdgeViewer.exe","8744","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2470513016-1574303057-3349936694-1001\\Device\HarddiskVolume3\Users\LabUser\Downloads\PdfEdgeViewer.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: 97 24 4D FE 3D 19 DC 01 00 00 00 00 00 00 00 00"
